plant_no,plant_description,short_description,charge_type,clock_unit,has_clock,ticket_1_required,ticket_2_required,category_1,category_2,category_3,category_4,category_5,category_6,is_active
416,416 - Excavator Case CX145D (2021),Excavator Case CX145D (2021),Hour,Hours,TRUE,Excavator 360,,,TRUE,,,,,TRUE
417,417 - Truck DAF LF180 Tipper (161-KE-7826),Truck DAF LF180 Tipper (161-KE-7826),Hour,,TRUE,Driver CPC,,TRUE,,,,,,TRUE
418,418 - Teleporter JCB 542-70 (201-KE-3756),Teleporter JCB 542-70 (201-KE-3756),Hour,Hours,TRUE,Telescopic Handler,,TRUE,,,,,,TRUE
419,419 - Planer Wirtgen W100CFI (2015),Planer Wirtgen W100CFI (2015),Hour,Hours,TRUE,,,,TRUE,,,,,TRUE
420,420 - Van Sprinter CDI 316 (201-KE-3771),Van Sprinter CDI 316 (201-KE-3771),Hour,,TRUE,,,TRUE,,,,,TRUE,TRUE
421,421 - Van Sprinter Dropside CDI 314 (191-KE-4969),Van Sprinter Dropside CDI 314 (191-KE-4969),Hour,,TRUE,,,TRUE,,,,,TRUE,TRUE
422,422 - Excavator Kubota KX060-5 (2024),Excavator Kubota KX060-5 (2024),Hour,Hours,TRUE,Excavator 360,,,TRUE,,,,,TRUE
423,423 - Excavator Kubota KX060-5 (2024),Excavator Kubota KX060-5 (2024),Hour,Hours,TRUE,Excavator 360,,,TRUE,,,,,TRUE
424,424 - Dumper Thwaites 9 Tonne (212-KE-2523),Dumper Thwaites 9 Tonne (212-KE-2523),Hour,Hours,TRUE,Site Dumper,,TRUE,,,,,,TRUE
425,425 - Dumper Thwaites 9 Tonne (212-KE-2522),Dumper Thwaites 9 Tonne (212-KE-2522),Hour,Hours,TRUE,Site Dumper,,TRUE,,,,,,TRUE
426,426 - Anti-Vandal Office Unit (40' x 10'),Anti-Vandal Office Unit (40' x 10'),Day,,,,,,,,,,,TRUE
427,427 - Storage Container (20' x 8'),Storage Container (20' x 8'),Day,,,,,,,,,,,TRUE
428,428 - Truck Scania P280 Tipper/Grab (142-KE-3279),Truck Scania P280 Tipper/Grab (142-KE-3279),Hour,,TRUE,Driver CPC,Hydraulic Lorry Loader,TRUE,,,,,,TRUE
429,429 - Truck Scania P280 Tipper/Grab (151-KE-6985),Truck Scania P280 Tipper/Grab (151-KE-6985),Hour,,TRUE,Driver CPC,Hydraulic Lorry Loader,TRUE,,,,,,TRUE
430,430 - Traffic Lights Millenium V2 (2024),Traffic Lights Millenium V2 (2024),Hour,,,,,,,,,,,TRUE
431,431 - Traffic Lights Millenium V2 (2024),Traffic Lights Millenium V2 (2024),Hour,,,,,,,,,,,TRUE
