plant_no,plant_description,short_description,charge_type,clock_unit,has_clock,ticket_1_required,ticket_2_required,category_1,category_2,category_3,category_4,category_5,category_6,is_active
A91,A91 - Forklift Jib Extension,Forklift Jib Extension,Hour,,,,,,TRUE,,,,,TRUE
A92,A92 - Rock Breaker Epiroc SB302 8 Tonne,Rock Breaker Epiroc SB302 8 Tonne,Hour,,,,,,,,,,,TRUE
A93,A93 - Ripper Tooth to suit Case CX350,Ripper Tooth to suit Case CX350,Hour,,,,,,,,,,,TRUE
A94,"A94 - Plant Trailer Nugent 3,500Kg","Plant Trailer Nugent 3,500Kg",Hour,,,,,,,TRUE,,,,TRUE
A95,"A95 - Plant Trailer Nugent 3,500Kg","Plant Trailer Nugent 3,500Kg",Hour,,,,,,,TRUE,,,,TRUE
A96,A96 - Rock Breaker Epiroc SB152 4 Tonne,Rock Breaker Epiroc SB152 4 Tonne,Hour,,,,,,,,,,,TRUE
A97,A97 - Rock Breaker Epiroc SB152 4 Tonne,Rock Breaker Epiroc SB152 4 Tonne,Hour,,,,,,,,,,,TRUE
A98,A98 - Pile Driver Movax SG-60 (2015) (2.46 Tonne),Pile Driver Movax SG-60 (2015) (2.46 Tonne),Hour,,,,,,,,,,,TRUE
A99,A99 - Rock Breaker Epiroc SB152 4 Tonne,Rock Breaker Epiroc SB152 4 Tonne,Hour,,,,,,,,,,,TRUE
A100,"A100  - Plant Trailer Nugent 3,500Kg","Plant Trailer Nugent 3,500Kg",Hour,,,,,,,TRUE,,,,TRUE
A101,A101 - Settlement Tank Siltbuster Hb20,Settlement Tank Siltbuster Hb20,Hour,,,,,,,,,,,TRUE
A102,"A102  - Plant Trailer Nugent 3,500Kg","Plant Trailer Nugent 3,500Kg",Hour,,,,,,,TRUE,,,,TRUE
A103,A103 - Rock Breaker Epiroc SB152 4 Tonne,Rock Breaker Epiroc SB152 4 Tonne,Hour,,,,,,,,,,,TRUE
A104,A104 - Settlement Tank,Settlement Tank,Hour,,,,,,,,,,,TRUE
A105,A105 - Settlement Tank,Settlement Tank,Hour,,,,,,,,,,,TRUE
A106,A106 - Sima S50 Concrete Mixing Bucket (500 Litre),Sima S50 Concrete Mixing Bucket (500 Litre),Hour,,,,,,,,,,,TRUE
A107,A107 - Jib Extension (25t Excavator),Jib Extension (25t Excavator),Hour,,,,,,,,,,,TRUE
A108,"A108 - Plant Trailer Nugent 3,500Kg","Plant Trailer Nugent 3,500Kg",Hour,,,,,,,TRUE,,,,TRUE
A109,"A109 - Dropside Trailer Ifor Williams 3,500Kg","Dropside Trailer Ifor Williams 3,500Kg",Hour,,,,,,,TRUE,,,,TRUE
A110,A110 - 2 Man Basket Boscaro (2021),2 Man Basket Boscaro (2021),Hour,,,,,,,,,,,TRUE
A111,"A111 - Teleporter Tipping Skip - 2,000Kg","Teleporter Tipping Skip - 2,000Kg",Hour,,,,,,,,,,,TRUE
A112,"A112 - Teleporter Tipping Skip - 2,000Kg","Teleporter Tipping Skip - 2,000Kg",Hour,,,,,,,,,,,TRUE
A113,"A113 - Teleporter Tipping Skip - 2,000Kg","Teleporter Tipping Skip - 2,000Kg",Hour,,,,,,,,,,,TRUE
A114,A114 - Riddle Bucket - 2m Wide,Riddle Bucket - 2m Wide,Hour,,,,,,,,,,,TRUE
A115,A115 - Rock Breaker Epiroc SB152 4 Tonne,Rock Breaker Epiroc SB152 4 Tonne,Hour,,,,,,,,,,,TRUE
A116,A116 - Rock Breaker Epiroc MB1200CL 15-26 Tonne,Rock Breaker Epiroc MB1200CL 15-26 Tonne,Hour,,,,,,,,,,,TRUE
A117,A117 - Grading Rake G-Rake GR150 5/8 Tonne,Grading Rake G-Rake GR150 5/8 Tonne,Hour,,,,,,,,,,,TRUE
A118,"A118 - Water Bowser c/w Power Washer 2,000 Litre","Water Bowser c/w Power Washer 2,000 Litre",Hour,,,,,,,,,,,TRUE
A119,"A119 - Hydraulic Pallet Fork - 4,000Kg","Hydraulic Pallet Fork - 4,000Kg",Hour,,,,,,TRUE,,,,,TRUE
A120,"A120 - Teleporter Tipping Skip - 2,000Kg","Teleporter Tipping Skip - 2,000Kg",Hour,,,,,,,,,,,TRUE
A121,"A121 - Bunded Diesel Tank 1,920 Litre (2005)","Bunded Diesel Tank 1,920 Litre (2005)",Hour,,,,,,,,,,,TRUE
A122,A122 - Rock Breaker Epiroc SB202 6 Tonne,Rock Breaker Epiroc SB202 6 Tonne,Hour,,,,,,,,,,,TRUE
A123,A123 - Trailer Curtain Sider (40' x 8'),Trailer Curtain Sider (40' x 8'),Hour,,,,,,,TRUE,,,,TRUE
A124,"A124 - Plant Trailer Nugent 3,500Kg","Plant Trailer Nugent 3,500Kg",Hour,,,,,,,TRUE,,,,TRUE
A125,A125 - Tipping Trailer Schmitz (2016),Tipping Trailer Schmitz (2016),Hour,,,,,,,TRUE,,,,TRUE
A126,"A126 - Hydraulic Pallet Fork - 4,000Kg","Hydraulic Pallet Fork - 4,000Kg",Hour,,,,,,TRUE,,,,,TRUE
A127,A127 - Box Van Trailer Ifor Williams 3500Kg,Box Van Trailer Ifor Williams 3500Kg,Hour,,,,,,,TRUE,,,,TRUE
A128,A128 - Rock Breaker Epiroc SB202 6 Tonne,Rock Breaker Epiroc SB202 6 Tonne,Hour,,,,,,,,,,,TRUE
A129,A129 - Rock Breaker Epiroc SB202 6 Tonne,Rock Breaker Epiroc SB202 6 Tonne,Hour,,,,,,,,,,,TRUE
A130,A130 - Low Loader Trailer Noteboom (2013),Low Loader Trailer Noteboom (2013),Hour,,,,,,,TRUE,,,,TRUE
A131,A131 - Pole / Pipe Grab,Pole / Pipe Grab,Hour,,,,,,,,,,,TRUE
A132,A132 - Mulcher for Excavator FAE UML/S/EX (2024),Mulcher for Excavator FAE UML/S/EX (2024),Hour,,,,,,,,,,,TRUE
A133,"A133 - Plant Trailer Nugent 3,500Kg","Plant Trailer Nugent 3,500Kg",Hour,,,,,,,TRUE,,,,TRUE
A134,A134 - Line Marking Trailer Somerford (2024),Line Marking Trailer Somerford (2024),Hour,,,,,,,TRUE,,,,TRUE
A135,"A135 - Boat Skip - 2,000 Litres","Boat Skip - 2,000 Litres",Hour,,,,,,,,,,,TRUE
A136,A136 - Diesel Bowser Western Global - 985 Litre (2020),Diesel Bowser Western Global - 985 Litre (2020),Hour,,,,,,,,,,,TRUE
A137,A137 - Diesel Bowser Fuel Cube - 900 Litre (2022),Diesel Bowser Fuel Cube - 900 Litre (2022),Hour,,,,,,,,,,,TRUE
A138,A138 - Diesel Bowser Fuel Cube - 900 Litre (2022),Diesel Bowser Fuel Cube - 900 Litre (2022),Hour,,,,,,,,,,,TRUE
A139,A139 - Diesel Bowser Fuel Cube - 900 Litre (2023),Diesel Bowser Fuel Cube - 900 Litre (2023),Hour,,,,,,,,,,,TRUE
A140,"A140 - Teleporter Tipping Skip - 2,000Kg","Teleporter Tipping Skip - 2,000Kg",Hour,,,,,,,,,,,TRUE
A141,"A141 - Teleporter Tipping Skip - 2,000Kg","Teleporter Tipping Skip - 2,000Kg",Hour,,,,,,,,,,,TRUE
A142,"A142 - Teleporter Tipping Skip - 2,000Kg","Teleporter Tipping Skip - 2,000Kg",Hour,,,,,,,,,,,TRUE
A143,"A143 - Teleporter Tipping Skip - 2,000Kg","Teleporter Tipping Skip - 2,000Kg",Hour,,,,,,,,,,,TRUE
A144,A144 - Cement Silo - Horizontal Trailer Mounted - 20 Tonne,Cement Silo - Horizontal Trailer Mounted - 20 Tonne,Hour,,,,,,,TRUE,,,,TRUE
A145,A145 - Diesel Bowser Fuel Cube - 900 Litre (2025),Diesel Bowser Fuel Cube - 900 Litre (2025),Hour,,,,,,,,,,,TRUE
A146,A146 - Trailer Curtain Sider (40' x 8'),Trailer Curtain Sider (40' x 8'),Hour,,,,,,,TRUE,,,,TRUE
A147,A147 - Trailer Curtain Sider (40' x 8'),Trailer Curtain Sider (40' x 8'),Hour,,,,,,,TRUE,,,,TRUE
A148,A148 - Digging Bucket to suit Case CX245 - 1050mm,Digging Bucket to suit Case CX245 - 1050mm,Hour,,,,,,,,,,,TRUE
A149,A149 - Cutting Edge to suit 9m Dia. Manhole,Cutting Edge to suit 9m Dia. Manhole,Day,,,,,,,,,,,TRUE
A151,"A151 - Trailer Triple Axle Drop Sides 3,500Kg","Trailer Triple Axle Drop Sides 3,500Kg",Hour,,,,,,,TRUE,,,,TRUE
A152,A152 - Rockbreaker Epiroc SB202 6 Tonne,Rockbreaker Epiroc SB202 6 Tonne,Hour,,,,,,,,,,,TRUE
